New ID	Temperature	ZT_rel	Description	ID1	Temp	Day	Hour	ZT	Replicate	Label
B1	25C	ZT6	D4/5	B01	T25	4	6	ZT078	R01	B01_T25_R01_ZT078
B2	25C	ZT8	D4/5	B02	T25	4	8	ZT080	R01	B02_T25_R01_ZT080
B3	25C	ZT10	D4/5	B03	T25	4	10	ZT082	R01	B03_T25_R01_ZT082
B4	25C	ZT12	D4/5	B04	T25	4	12	ZT084	R01	B04_T25_R01_ZT084
B5	25C	ZT14	D4/5	B05	T25	4	14	ZT086	R01	B05_T25_R01_ZT086
B6	25C	ZT16	D4/5	B06	T25	4	16	ZT088	R01	B06_T25_R01_ZT088
B7	25C	ZT18	D4/5	B07	T25	4	18	ZT090	R01	B07_T25_R01_ZT090
B8	25C	ZT20	D4/5	B08	T25	4	20	ZT092	R01	B08_T25_R01_ZT092
B9	25C	ZT22	D4/5	B09	T25	4	22	ZT094	R01	B09_T25_R01_ZT094
B10	25C	ZT24	D4/5	B10	T25	4	24	ZT096	R01	B10_T25_R01_ZT096
B11	25C	ZT2	D4/5	B11	T25	5	2	ZT098	R01	B11_T25_R01_ZT098
B12	25C	ZT4	D4/5	B12	T25	5	4	ZT100	R01	B12_T25_R01_ZT100
B13	25C	ZT6	D4/5	B13	T25	5	6	ZT102	R01	B13_T25_R01_ZT102
B14	25C	ZT8	D4/5	B14	T25	5	8	ZT104	R01	B14_T25_R01_ZT104
B15	25C	ZT10	D4/5	B15	T25	5	10	ZT106	R01	B15_T25_R01_ZT106
B16	25C	ZT12	D4/5	B16	T25	5	12	ZT108	R01	B16_T25_R01_ZT108
B17	25C	ZT14	D4/5	B17	T25	5	14	ZT110	R01	B17_T25_R01_ZT110
B18	25C	ZT16	D4/5	B18	T25	5	16	ZT112	R01	B18_T25_R01_ZT112
B19	25C	ZT18	D4/5	B19	T25	5	18	ZT114	R01	B19_T25_R01_ZT114
C1	18C	ZT6	D4/5	C01	T18	4	6	ZT078	R01	C01_T18_R01_ZT078
C2	18C	ZT8	D4/5	C02	T18	4	8	ZT080	R01	C02_T18_R01_ZT080
C3	18C	ZT10	D4/5	C03	T18	4	10	ZT082	R01	C03_T18_R01_ZT082
C4	18C	ZT12	D4/5	C04	T18	4	12	ZT084	R01	C04_T18_R01_ZT084
C5	18C	ZT14	D4/5	C05	T18	4	14	ZT086	R01	C05_T18_R01_ZT086
C6	18C	ZT16	D4/5	C06	T18	4	16	ZT088	R01	C06_T18_R01_ZT088
C7	18C	ZT18	D4/5	C07	T18	4	18	ZT090	R01	C07_T18_R01_ZT090
C8	18C	ZT20	D4/5	C08	T18	4	20	ZT092	R01	C08_T18_R01_ZT092
C9	18C	ZT22	D4/5	C09	T18	4	22	ZT094	R01	C09_T18_R01_ZT094
C10	18C	ZT24	D4/5	C10	T18	4	24	ZT096	R01	C10_T18_R01_ZT096
C11	18C	ZT2	D4/5	C11	T18	5	2	ZT098	R01	C11_T18_R01_ZT098
C12	18C	ZT4	D4/5	C12	T18	5	4	ZT100	R01	C12_T18_R01_ZT100
C13	18C	ZT6	D4/5	C13	T18	5	6	ZT102	R01	C13_T18_R01_ZT102
C14	18C	ZT8	D4/5	C14	T18	5	8	ZT104	R01	C14_T18_R01_ZT104
C15	18C	ZT10	D4/5	C15	T18	5	10	ZT106	R01	C15_T18_R01_ZT106
C16	18C	ZT12	D4/5	C16	T18	5	12	ZT108	R01	C16_T18_R01_ZT108
C17	18C	ZT14	D4/5	C17	T18	5	14	ZT110	R01	C17_T18_R01_ZT110
C18	18C	ZT16	D4/5	C18	T18	5	16	ZT112	R01	C18_T18_R01_ZT112
C19	18C	ZT18	D4/5	C19	T18	5	18	ZT114	R01	C19_T18_R01_ZT114
D1	18C	ZT6	D4/5	D01	T18	4	6	ZT078	R02	D01_T18_R02_ZT078
D2	18C	ZT12	D4/5	D02	T18	4	12	ZT084	R02	D02_T18_R02_ZT084
D3	18C	ZT18	D4/5	D03	T18	4	18	ZT090	R02	D03_T18_R02_ZT090
D4	18C	ZT6	D4/5	D04	T18	5	6	ZT102	R02	D04_T18_R02_ZT102
D5	18C	ZT12	D4/5	D05	T18	5	12	ZT108	R02	D05_T18_R02_ZT108
